iter	Passed	Remaining
406	574078	554331
407	575192	552635
408	576865	551478
409	578461	550244
410	579963	548919
411	581816	547924
412	583723	546975
413	585516	545916
414	586821	544401
415	588139	542897
416	589551	541482
417	590787	539906
418	592368	538645
419	593802	537250
420	595348	535955
421	597194	534928
422	598813	533694
423	600797	532782
424	601985	531163
425	603314	529670
426	604975	528467
427	606625	527253
428	608184	525958
429	609577	524520
430	610966	523077
431	612174	521482
432	613572	520048
433	614989	518631
434	616543	517329
435	618045	515983
436	619431	514538
437	620600	512916
438	622161	511617
439	623360	510022
440	624623	508480
441	625723	506807
442	627250	505481
443	628628	504035
444	629693	502339
445	630723	500619
446	632260	499301
447	634048	498181
448	635573	496851
449	636936	495394
450	638406	494021
451	639682	492498
452	641026	491028
453	642588	489725
454	643909	488239
455	645260	486775
456	646984	485592
457	648577	484308
458	650152	483011
459	651756	481733
460	653384	480471
461	655106	479277
462	657156	478319
463	659108	477285
464	660691	475982
465	662053	474519
466	663219	472916
467	664823	471626
468	666126	470123
469	667642	468770
470	669018	467318
471	670370	465850
472	671529	464249
473	673197	463000
474	674331	461385
475	675647	459894
476	676886	458352
477	678196	456860
478	679708	455504
479	681066	454044
480	682148	452402
481	683048	450642
482	684738	449403
483	685712	447696
484	687214	446335
485	688923	445107
486	690413	443736
487	691875	442346
488	693280	440920
489	694729	439522
490	696155	438110
491	697332	436541
492	698932	435237
493	700543	433939
494	701844	432449
495	703112	430940
496	704428	429460
497	706079	428184
498	707733	426909
499	708994	425396
500	710718	424161
501	711794	422539
502	713439	421255
503	714754	419776
504	716295	418429
505	717654	416977
506	719133	415593
507	720341	414054
508	721475	412473
509	722691	410942
510	723901	409407
511	724981	407802
512	726509	406448
513	727927	405033
514	729118	403492
515	730502	402059
516	732008	400693
517	733247	399181
518	734200	397514
519	735600	396092
520	736657	394486
521	737946	393006
522	739347	391585
523	740954	390273
524	742199	388771
525	743771	387439
526	745327	386099
527	746925	384779
528	748674	383536
529	750098	382125
530	751468	380687
531	753005	379333
532	754446	377930
533	756092	376630
534	757498	375209
535	759028	373849
536	760524	372473
537	762008	371089
538	763304	369614
539	764673	368176
540	766153	366790
541	767290	365241
542	769031	363979
543	770472	362575
544	772039	361229
545	773196	359691
546	774534	358240
547	776020	356856
548	777450	355446
549	778774	353988
550	780143	352551
551	781563	351137
552	783001	349731
553	784408	348311
554	785883	346921
555	787322	345515
556	788808	344130
557	789716	342493
558	791165	341092
559	792647	339706
560	794296	338390
561	795697	336967
562	797161	335572
563	798255	334021
564	799610	332581
565	800467	330935
566	801920	329536
567	803533	328203
568	805116	326857
569	806445	325407
570	807778	323960
571	809053	322489
572	810563	321113
573	812188	319781
574	813815	318449
575	815191	317018
576	816559	315585
577	818218	314264
578	819676	312864
579	820977	311405
580	822222	309925
581	823611	308500
582	824821	307009
583	826275	305608
584	827958	304292
585	829561	302945
586	831059	301560
587	832395	300115
588	833619	298630
589	835128	297249
590	836785	295919
591	838263	294524
592	839800	293151
593	841407	291801
594	842804	290378
595	844022	288893
596	845368	287453
597	846764	286030
598	848039	284567
599	849426	283142
600	850525	281621
601	851323	280003
602	852390	278475
603	853523	276971
604	854795	275512
605	856382	274155
606	857673	272703
607	859092	271292
608	860628	269917
609	861846	268444
610	863237	267024
611	864679	265620
612	866313	264275
613	867400	262763
614	868828	261354
615	870107	259902
616	871434	258464
617	872716	257013
618	874203	255623
619	875787	254260
620	877194	252846
621	878627	251440
622	880289	250098
623	881836	248723
624	882998	247239
625	884597	245878
626	885921	244440
627	887226	242998
628	888580	241569
629	890144	240197
630	891673	238816
631	893151	237419
632	894338	235946
633	895834	234556
634	897376	233176
635	899043	231828
636	900460	230416
637	902178	229079
638	903496	227641
639	904829	226207
640	905984	224729
641	907245	223278
642	908598	221850
643	909688	220359
644	911034	218930
645	912203	217460
646	913714	216071
647	915335	214708
648	916725	213290
649	918356	211928
650	919860	210536
651	921420	209156
652	922562	207682
653	924034	206282
654	925666	204918
655	926802	203444
656	928171	202022
657	929132	200511
658	930489	199088
659	931812	197657
660	933112	196221
661	934615	194829
662	936232	193459
663	937799	192079
664	939243	190673
665	940782	189286
666	941932	187821
667	942927	186326
668	943943	184838
669	945314	183419
670	946829	182028
671	948085	180587
672	949166	179114
673	950535	177696
674	951331	176172
675	952650	174746
676	953954	173318
677	955354	171907
678	956952	170531
679	958246	169102
680	959386	167646
681	960283	166148
682	961815	164762
683	963378	163379
684	964782	161970
685	966191	160562
686	967228	159092
687	968680	157692
688	970292	156317
689	971667	154903
690	973053	153491
691	974566	152100
692	976121	150714
693	977555	149309
694	978984	147904
695	980625	146530
696	982091	145129
697	983288	143689
698	984860	142304
699	985871	140838
700	987267	139428
701	988523	137998
702	989417	136519
703	990874	135119
704	991765	133642
705	992712	132174
706	993667	130708
707	994487	129227
708	995696	127797
709	997160	126400
710	998501	124988
711	1000263	123628
712	1001364	122186
713	1002839	120790
714	1003845	119338
715	1005446	117957
716	1007545	116633
717	1009099	115245
718	1010905	113885
719	1012268	112474
720	1013356	111033
721	1014347	109583
722	1015615	108163
723	1016790	106734
724	1018212	105332
725	1019786	103945
726	1021248	102546
727	1022834	101159
728	1024298	99760
729	1025601	98345
730	1026806	96921
731	1027987	95496
732	1029487	94100
733	1031098	92714
734	1032577	91316
735	1033777	89893
736	1034903	88465
737	1036257	87056
738	1037467	85636
739	1038803	84227
740	1040112	82815
741	1041505	81411
742	1042742	79995
743	1044012	78581
744	1045289	77169
745	1046556	75756
746	1047808	74342
747	1048869	72916
748	1050240	71511
749	1051647	70109
750	1052885	68696
751	1054168	67287
752	1055359	65872
753	1056705	64467
754	1057804	63047
755	1058986	61634
756	1060251	60225
757	1061448	58813
758	1062750	57408
759	1063747	55986
760	1065126	54586
761	1066574	53188
762	1067817	51781
763	1069284	50385
764	1070747	48988
765	1072014	47582
766	1073345	46180
767	1074459	44769
768	1075481	43354
769	1076770	41952
770	1077856	40541
771	1078910	39131
772	1080043	37724
773	1081331	36323
774	1082580	34921
775	1083854	33521
776	1085316	32126
777	1086773	30731
778	1088031	29330
779	1089418	27933
780	1090774	26536
781	1092058	25136
782	1093384	23738
783	1094608	22338
784	1095641	20935
785	1096810	19536
786	1098254	18141
787	1099308	16740
788	1100531	15343
789	1101998	13949
790	1103217	12552
791	1104185	11153
792	1105679	9760
793	1106867	8364
794	1108284	6970
795	1109616	5575
796	1111066	4182
797	1112649	2788
798	1114146	1394
799	1115444	0
