iter	Logloss
226	0.4593112286
227	0.4592719342
228	0.4592081367
229	0.4591482438
230	0.4591223815
231	0.4590915079
232	0.4590357969
233	0.45900033
234	0.4589564309
235	0.4589192957
236	0.458888163
237	0.4588579953
238	0.4588270395
239	0.458805799
240	0.4587492504
241	0.458689961
242	0.4586649243
243	0.4586193872
244	0.4585828064
245	0.4585585234
246	0.4585085603
247	0.4584730882
248	0.4584513454
249	0.4584205981
250	0.4583826567
251	0.45834687
252	0.4583122671
253	0.4582364597
254	0.4581983756
255	0.458161863
256	0.4581258588
257	0.4580619971
258	0.4580420087
259	0.4580017226
260	0.4579624226
261	0.4579377804
262	0.4579035191
263	0.4578604898
264	0.4578039254
265	0.4577766566
266	0.4577463166
267	0.4577140956
268	0.4576645939
269	0.4576335124
270	0.4576035948
271	0.4575455681
272	0.4575117138
273	0.4574804797
274	0.4574375014
275	0.4574045387
276	0.457350022
277	0.4573323462
278	0.4573065028
279	0.4572847887
280	0.4572455073
281	0.4572195481
282	0.4571910569
283	0.4571703948
284	0.4571535483
285	0.4571182529
286	0.4570878002
287	0.4570466205
288	0.4570208715
289	0.4569773703
290	0.4569556581
291	0.4569232079
292	0.456886047
293	0.4568268941
294	0.4567682859
295	0.4567466325
296	0.4566837008
297	0.45665903
298	0.4565848739
299	0.4565604691
300	0.4565287171
301	0.4564900674
302	0.456466473
303	0.4564256567
304	0.4563906374
305	0.4563423385
306	0.4563133817
307	0.4562924748
308	0.4562539174
309	0.4562353668
310	0.4561971593
311	0.4561641502
312	0.4561346732
313	0.4561087759
314	0.4560599911
315	0.4560122623
316	0.4559789473
317	0.4559278098
318	0.4558953387
319	0.4558549414
320	0.4558256251
321	0.4557851675
322	0.4557489696
323	0.455725753
324	0.4557107872
325	0.455693415
326	0.4556477473
327	0.455628523
328	0.4555637449
329	0.4555350495
330	0.4554969129
331	0.4554698213
332	0.4554378753
333	0.4554213122
334	0.4553949031
335	0.4553757837
336	0.4553475523
337	0.4553247628
338	0.4552960046
339	0.4552530891
340	0.4552374963
341	0.4552224543
342	0.4551918172
343	0.4551749309
344	0.4551543249
345	0.4551072029
346	0.4550781823
347	0.4550392439
348	0.455012416
349	0.4549974992
350	0.4549707211
351	0.4549477739
352	0.4549221425
353	0.4549054997
354	0.4548798767
355	0.454842144
356	0.4548100689
357	0.4547865072
358	0.4547307366
359	0.4547148436
360	0.4546626354
361	0.4546354446
362	0.4546094473
363	0.4545858309
364	0.4545436568
365	0.4545218583
366	0.4544970529
367	0.4544758519
368	0.4544384071
369	0.4544089318
370	0.4543935013
371	0.4543632881
372	0.4543463482
373	0.4543217105
374	0.4543029123
375	0.4542414544
376	0.4542006757
377	0.4541649899
378	0.4541313901
379	0.4540989686
380	0.4540813837
381	0.4540485834
382	0.4540268261
383	0.4540039652
384	0.4539690371
385	0.4539244341
386	0.4539001027
387	0.4538737037
388	0.453842481
389	0.4538106933
390	0.4537941771
391	0.4537671512
392	0.4537191278
393	0.4537003751
394	0.4536748109
395	0.4536562149
396	0.4536242264
397	0.4536077082
398	0.4535925092
399	0.453570806
400	0.4535394041
401	0.4535241868
402	0.4534969406
403	0.4534761715
404	0.4534513805
405	0.4534320435
406	0.4534035615
407	0.4533887678
408	0.4533341223
409	0.453312559
410	0.4532941457
411	0.4532802214
412	0.4532534027
413	0.4532284665
414	0.4532071843
415	0.4531787762
416	0.4531578389
417	0.4531354725
418	0.4530687854
419	0.4530470621
420	0.4530200044
421	0.4529920895
422	0.4529751402
423	0.4529459416
424	0.452928753
425	0.4529192987
426	0.4528931354
427	0.4528710176
428	0.4528526923
429	0.452840388
430	0.452819187
431	0.4528006801
432	0.4527813113
433	0.4527662917
434	0.4527313354
435	0.4527003273
436	0.4526458155
437	0.4526231434
438	0.4526051962
439	0.4525801644
440	0.4525554977
441	0.45253659
442	0.4525073618
443	0.4524776454
444	0.4524625463
445	0.4524502128
446	0.4524188623
447	0.4523969406
448	0.4523739124
449	0.4523574239
450	0.4523331686
451	0.4523081814
452	0.4522842576
453	0.4522649992
454	0.4522489463
455	0.4522362106
456	0.4522203245
457	0.4521948843
458	0.4521710466
459	0.4521254998
460	0.4521097367
461	0.4520910672
462	0.4520656529
463	0.4520441691
464	0.4520256911
465	0.4520060233
466	0.4519847928
467	0.4519701931
468	0.451954969
469	0.4519368138
470	0.4519099836
471	0.4518832885
472	0.451874231
473	0.4518444276
474	0.4518274017
475	0.4518123497
476	0.4517898381
477	0.4517680867
478	0.4517325367
479	0.4517143022
480	0.4516983613
481	0.4516746618
482	0.4516293743
483	0.4516085157
484	0.4515850887
485	0.4515729389
486	0.4515543063
487	0.4515453933
488	0.4515348547
489	0.4514943551
490	0.4514714691
491	0.4514588208
492	0.4514261363
493	0.4514176172
494	0.4514023712
495	0.451389728
496	0.4513741936
497	0.451353072
498	0.451334209
499	0.4512971775
500	0.4512621431
501	0.4512405274
502	0.4512031319
503	0.4511885103
504	0.4511780741
505	0.4511641571
506	0.4511488991
507	0.4511399514
508	0.4511221657
509	0.4511044781
510	0.4510882169
511	0.4510737457
512	0.4510632422
513	0.451045185
514	0.4510357539
515	0.4510238321
516	0.4510077516
517	0.4509972367
518	0.4509868483
519	0.4509604876
520	0.4509454219
521	0.4509357655
522	0.4509165245
523	0.4509010315
524	0.4508829441
525	0.4508614098
526	0.4508422007
527	0.4507872648
528	0.4507676329
529	0.4507552209
530	0.450735108
531	0.4507154064
532	0.4507023632
533	0.4506804147
534	0.4506672656
535	0.4506580758
536	0.4506474521
537	0.4506360555
538	0.4506193041
539	0.4505841265
540	0.4505742193
541	0.4505614673
542	0.4505499035
543	0.4505300714
544	0.4505219743
545	0.4505159918
546	0.4504975996
547	0.4504823899
548	0.450472699
549	0.4504451698
550	0.4504305453
551	0.4504162067
552	0.4504050591
553	0.4503899349
554	0.4503755301
555	0.4503598422
556	0.450344768
557	0.4503326336
558	0.4503183547
559	0.4503003799
560	0.4502866603
561	0.4502676281
562	0.4502551828
563	0.4502402839
564	0.4502296983
565	0.4502191484
566	0.4502006391
567	0.4501855275
568	0.4501687915
569	0.4501535448
570	0.4501332175
571	0.4501014665
572	0.4500911081
573	0.4500629787
574	0.4500202577
575	0.4500081095
576	0.449998682
577	0.4499894829
578	0.4499763265
579	0.4499610477
580	0.4499490237
581	0.4499126134
582	0.4499018452
583	0.4498896763
584	0.4498770547
585	0.4498679531
586	0.4498603644
587	0.4498502643
588	0.4498380863
589	0.4498219664
590	0.4498103167
591	0.4498039215
592	0.4497884842
593	0.4497621817
594	0.4497444689
595	0.4497325618
596	0.4497212972
597	0.4497025158
598	0.4496854672
599	0.4496737716
600	0.4496532736
601	0.4496388615
602	0.4496325401
603	0.4496136364
604	0.4495727169
605	0.449566192
606	0.4495570187
607	0.449542681
608	0.4495338625
609	0.4495218626
610	0.4495125587
611	0.4495028775
612	0.4494911569
613	0.4494815068
614	0.4494680359
615	0.4494507181
616	0.4494386737
617	0.449429046
618	0.4494172491
619	0.4494036927
620	0.4493902249
621	0.4493762616
622	0.4493701463
623	0.4493566385
624	0.449337409
625	0.4493261448
626	0.4493202026
627	0.4493068973
628	0.4492978957
629	0.4492848052
630	0.449270797
631	0.4492626583
632	0.4492452256
633	0.4492262355
634	0.4492156106
635	0.4492043394
636	0.4491924674
637	0.4491763052
638	0.4491649357
639	0.4491377464
640	0.4491300239
641	0.4491153114
642	0.4491078642
643	0.4491026728
644	0.4490854212
645	0.4490764735
646	0.4490472763
647	0.4490387234
648	0.4490252974
649	0.4490152043
650	0.4490055816
651	0.4489919834
652	0.4489821026
653	0.4489655745
654	0.4489528579
655	0.4489356969
656	0.4489238447
657	0.4489131127
658	0.448898034
659	0.4488893439
660	0.4488742919
661	0.4488565864
662	0.44884929
663	0.4488376516
664	0.4488292928
665	0.4488133802
666	0.4487886311
667	0.4487739496
668	0.4487612664
669	0.4487520171
670	0.4487362169
671	0.4487202962
672	0.4487119059
673	0.4486963572
674	0.4486828598
675	0.4486619338
676	0.4486480178
677	0.4486358274
678	0.4486218123
679	0.4485999714
680	0.448582358
681	0.4485760715
682	0.4485660305
683	0.4485597371
684	0.4485494734
685	0.4485254919
686	0.4485154382
687	0.4485072924
688	0.4484827379
689	0.4484661598
690	0.4484533796
691	0.4484441963
692	0.4484324078
693	0.4484212306
694	0.448401727
695	0.4483879951
696	0.4483772413
697	0.4483600544
698	0.4483518425
699	0.4483378848
700	0.4483253214
701	0.4483024397
702	0.4482848265
703	0.4482592329
704	0.4482452229
705	0.4482246569
706	0.4482075227
707	0.4481953904
708	0.4481826388
709	0.4481681572
710	0.4481560778
711	0.4481170962
712	0.4481054241
713	0.4480916162
714	0.4480838461
715	0.4480700336
716	0.4480618876
717	0.448052571
718	0.4480439462
719	0.4480346836
720	0.4480179904
721	0.4480072183
722	0.4480021081
723	0.4479881576
724	0.4479780699
725	0.4479686856
726	0.4479590177
727	0.4479538459
728	0.4479453721
729	0.4479254948
730	0.4479112455
731	0.4479002248
732	0.4478894472
733	0.4478794059
734	0.4478673575
735	0.4478557277
736	0.4478467052
737	0.4478381209
738	0.4478299852
739	0.4478081386
740	0.4477969027
741	0.4477898605
742	0.4477814124
743	0.4477704408
744	0.4477585509
745	0.4477469872
746	0.4477366873
747	0.4477262611
748	0.4477173022
749	0.4477060142
750	0.447693985
751	0.4476870369
752	0.4476699991
753	0.4476634115
754	0.4476514331
755	0.4476393672
756	0.447623851
757	0.447613984
758	0.4476072282
759	0.4476001217
760	0.4475927941
761	0.4475817366
762	0.4475745788
763	0.4475626354
764	0.4475546596
765	0.4475437437
766	0.4475383003
767	0.447522732
768	0.4475101187
769	0.4474858904
770	0.4474728069
771	0.4474623806
772	0.4474529915
773	0.4474470095
774	0.4474379311
775	0.447427005
776	0.4474136308
777	0.4473951616
778	0.4473778693
779	0.4473676804
780	0.4473542595
781	0.4473435449
782	0.4473373349
783	0.4473282278
784	0.447318315
785	0.4473129431
786	0.4473081034
787	0.4473009747
788	0.4472874963
789	0.44727575
790	0.4472674663
791	0.4472573859
792	0.4472432183
793	0.447237668
794	0.4472301523
795	0.4472209337
796	0.4472139647
797	0.4472061619
798	0.4471987106
799	0.4471858222
